"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44218","Тестирование функционала подтверждения действий при удалении файлов и каталогов -- @1.2 Версии сайтов","","Tue Oct 29 20:41:47 MSK 2024","broken","Tue Oct 29 20:42:31 MSK 2024","","","",""
"","38334","Тестирование функционала подтверждения действий при удалении файлов и каталогов -- @1.1 Версии сайтов","","Tue Oct 29 20:41:09 MSK 2024","passed","Tue Oct 29 20:41:47 MSK 2024","","","",""
